"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(DirTotal) []"
10,5,90,0.6,57.5,-6.12343196584164
10,5,90,0.6,57.6,-5.9614139087867
10,5,90,0.6,57.7,-5.80171331581233
10,5,90,0.6,57.8,-5.64467946317939
10,5,90,0.6,57.9,-5.49062017874398
10,5,90,0.6,58,-5.33980580671887
10,5,90,0.6,58.1,-5.19247300530045
10,5,90,0.6,58.2,-5.04882833181813
10,5,90,0.6,58.3,-4.90905158832322
10,5,90,0.6,58.4,-4.77329891453285
10,5,90,0.6,58.5,-4.64170562548111
10,5,90,0.6,58.6,-4.51438879876634
10,5,90,0.6,58.7,-4.39144962151043
10,5,90,0.6,58.8,-4.27297551056779
10,5,90,0.6,58.9,-4.15904202156922
10,5,90,0.6,59,-4.04971456340061
10,5,90,0.6,59.1,-3.94504993498653
10,5,90,0.6,59.2,-3.84509770098279
10,5,90,0.6,59.3,-3.7499014223594
10,5,90,0.6,59.4,-3.65949975700321
10,5,90,0.6,59.5,-3.57392744447587
10,5,90,0.6,59.6,-3.49321618801903
10,5,90,0.6,59.7,-3.41739544582638
10,5,90,0.6,59.8,-3.34649314257035
