"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(GainTotal) []"
10,5,-176,0.6,22,-4.89545422482963
10,5,-176,0.6,24,-4.80058922226315
10,5,-176,0.6,26,-5.44431377357754
10,5,-176,0.6,28,-6.31598235476743
10,5,-176,0.6,30,-6.70839407534773
10,5,-176,0.6,32,-6.41537576293169
10,5,-176,0.6,34,-5.9600565738453
10,5,-176,0.6,36,-5.98199010091063
10,5,-176,0.6,38,-6.62316722196196
10,5,-176,0.6,40,-7.48519853070976
10,5,-176,0.6,42,-8.0029758646819
10,5,-176,0.6,44,-8.0303282373131
10,5,-176,0.6,46,-7.94320480824888
10,5,-176,0.6,48,-8.1708650019696
10,5,-176,0.6,50,-8.77435308209417
10,5,-176,0.6,52,-9.34054497627144
10,5,-176,0.6,54,-9.43366341417337
10,5,-176,0.6,56,-9.28101861975915
10,5,-176,0.6,58,-9.45059354357119
10,5,-176,0.6,60,-10.2595600491949
10,5,-176,0.6,62,-11.5860467960834
10,5,-176,0.6,64,-12.6209145386198
10,5,-176,0.6,66,-12.4061906066236
10,5,-176,0.6,68,-11.4646106026872
10,5,-176,0.6,70,-10.8336861453229
10,5,-176,0.6,72,-10.9369943037614
10,5,-176,0.6,74,-11.7222406775707
10,5,-176,0.6,76,-12.5128411179681
10,5,-176,0.6,78,-12.0856284402679
10,5,-176,0.6,80,-10.5278257469812
10,5,-176,0.6,82,-8.97726771198098
10,5,-176,0.6,84,-7.92128466975042
10,5,-176,0.6,86,-7.34897402381455
10,5,-176,0.6,88,-7.10751943250877
10,5,-176,0.6,90,-7.04763691487815
10,5,-176,0.6,92,-7.10751943250884
10,5,-176,0.6,94,-7.34897402381458
10,5,-176,0.6,96,-7.92128466975045
10,5,-176,0.6,98,-8.97726771198093
10,5,-176,0.6,100,-10.5278257469812
10,5,-176,0.6,102,-12.0856284402679
10,5,-176,0.6,104,-12.5128411179681
10,5,-176,0.6,106,-11.7222406775707
10,5,-176,0.6,108,-10.9369943037614
10,5,-176,0.6,110,-10.8336861453228
10,5,-176,0.6,112,-11.4646106026872
10,5,-176,0.6,114,-12.4061906066236
10,5,-176,0.6,116,-12.6209145386199
10,5,-176,0.6,118,-11.5860467960834
10,5,-176,0.6,120,-10.2595600491949
10,5,-176,0.6,122,-9.45059354357119
10,5,-176,0.6,124,-9.28101861975916
10,5,-176,0.6,126,-9.43366341417336
10,5,-176,0.6,128,-9.34054497627142
10,5,-176,0.6,130,-8.77435308209419
10,5,-176,0.6,132,-8.17086500196965
10,5,-176,0.6,134,-7.94320480824891
10,5,-176,0.6,136,-8.03032823731313
10,5,-176,0.6,138,-8.00297586468192
10,5,-176,0.6,140,-7.48519853070975
10,5,-176,0.6,142,-6.62316722196195
10,5,-176,0.6,144,-5.98199010091064
10,5,-176,0.6,146,-5.96005657384532
10,5,-176,0.6,148,-6.4153757629317
10,5,-176,0.6,150,-6.70839407534774
