"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(GainTotal) []"
10,5,90,0.6,52.8,-6.64045778156573
10,5,90,0.6,52.9,-6.7574752668908
10,5,90,0.6,53,-6.87688725395564
10,5,90,0.6,53.1,-6.99835264913596
10,5,90,0.6,53.2,-7.12148347511393
10,5,90,0.6,53.3,-7.2458408703462
10,5,90,0.6,53.4,-7.37093123886404
10,5,90,0.6,53.5,-7.49620272958593
10,5,90,0.6,53.6,-7.62104227061766
10,5,90,0.6,53.7,-7.74477343344912
10,5,90,0.6,53.8,-7.8666554513513
10,5,90,0.6,53.9,-7.98588376078011
10,5,90,0.6,54,-8.10159246745446
10,5,90,0.6,54.1,-8.21285915134681
10,5,90,0.6,54.2,-8.31871240689851
10,5,90,0.6,54.3,-8.41814245554145
10,5,90,0.6,54.4,-8.51011505722868
10,5,90,0.6,54.5,-8.59358877956496
10,5,90,0.6,54.6,-8.66753545683301
10,5,90,0.6,54.7,-8.7309633952481
10,5,90,0.6,54.8,-8.78294257485942
10,5,90,0.6,54.9,-8.82263079404866
10,5,90,0.6,55,-8.84929944044676
10,5,90,0.6,55.1,-8.86235739745351
10,5,90,0.6,55.2,-8.86137154959279
10,5,90,0.6,55.3,-8.84608246044644
10,5,90,0.6,55.4,-8.81641406970669
10,5,90,0.6,55.5,-8.77247667008362
10,5,90,0.6,55.6,-8.71456293388626
10,5,90,0.6,55.7,-8.64313729836613
10,5,90,0.6,55.8,-8.55881951773403
10,5,90,0.6,55.9,-8.46236358542535
10,5,90,0.6,56,-8.35463347966334
10,5,90,0.6,56.1,-8.23657727179214
10,5,90,0.6,56.2,-8.10920106970854
10,5,90,0.6,56.3,-7.97354407836638
10,5,90,0.6,56.4,-7.83065578812835
10,5,90,0.6,56.5,-7.68157599467377
10,5,90,0.6,56.6,-7.52731805097604
10,5,90,0.6,56.7,-7.36885548229962
10,5,90,0.6,56.8,-7.20711187717464
10,5,90,0.6,56.9,-7.04295380795032
10,5,90,0.6,57,-6.87718643223318
10,5,90,0.6,57.1,-6.71055137406332
10,5,90,0.6,57.2,-6.54372647095786
10,5,90,0.6,57.3,-6.37732698913297
10,5,90,0.6,57.4,-6.2119079443193
10,5,90,0.6,57.5,-6.04796721119502
10,5,90,0.6,57.6,-5.88594915414007
10,5,90,0.6,57.7,-5.7262485611657
10,5,90,0.6,57.8,-5.56921470853276
10,5,90,0.6,57.9,-5.41515542409735
10,5,90,0.6,58,-5.26434105207224
10,5,90,0.6,58.1,-5.11700825065383
10,5,90,0.6,58.2,-4.97336357717151
10,5,90,0.6,58.3,-4.83358683367659
10,5,90,0.6,58.4,-4.69783415988623
10,5,90,0.6,58.5,-4.56624087083448
10,5,90,0.6,58.6,-4.43892404411972
10,5,90,0.6,58.7,-4.31598486686381
10,5,90,0.6,58.8,-4.19751075592117
10,5,90,0.6,58.9,-4.0835772669226
10,5,90,0.6,59,-3.97424980875399
10,5,90,0.6,59.1,-3.8695851803399
10,5,90,0.6,59.2,-3.76963294633616
10,5,90,0.6,59.3,-3.67443666771278
10,5,90,0.6,59.4,-3.58403500235658
10,5,90,0.6,59.5,-3.49846268982925
10,5,90,0.6,59.6,-3.4177514333724
10,5,90,0.6,59.7,-3.34193069117975
10,5,90,0.6,59.8,-3.27102838792372
